amfi_code,var_95,cvar_95,var_99,cvar_99,n_obs,scheme_name,category
100016,-1.436363998811114,-1.806020763217176,-2.039221768193603,-2.213815303578442,1149,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap
100025,-0.3793246199522681,-0.4993763020560281,-0.5831514614669546,-0.6963380396382733,1149,HDFC Short Term Debt Fund - Regular - Growth,Short Duration
100033,-1.9033535861558821,-2.3455762770703794,-2.544279361739774,-3.0325604878615198,1149,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap
101206,-1.3281661986281488,-1.7439425687129195,-1.9648338342839133,-2.4748229024390445,1149,ABSL Frontline Equity Fund - Regular - Growth,Large Cap
101207,-2.6021248221061066,-3.245905898704435,-3.707050070499352,-4.2086173079648335,1149,ABSL Small Cap Fund - Regular - Growth,Small Cap
101208,-0.026865751304001553,-0.04220820655857681,-0.05270906602120147,-0.061973623281757984,1149,ABSL Liquid Fund - Regular - Growth,Liquid
102885,-1.2612628820693559,-1.549040525311211,-1.773211833824536,-1.9204582479229801,1149,UTI Nifty 50 Index Fund - Regular - Growth,Index
102886,-1.9220283444265023,-2.325086026922121,-2.5471522271682896,-2.903005818617773,1149,UTI Mid Cap Fund - Regular - Growth,Mid Cap
102887,-1.523161727915787,-1.941118267915869,-2.2571929153079093,-2.490511391315378,1149,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap
118632,-1.3954045870018115,-1.7618579320162155,-1.9391663860003758,-2.2568891014927854,1149,Nippon India Large Cap Fund - Regular - Growth,Large Cap
118633,-1.344252514302424,-1.6630178254004826,-1.922567107281523,-2.1552899633305507,1149,Nippon India Large Cap Fund - Direct - Growth,Large Cap
118634,-2.54381114589631,-3.2304072697818538,-3.54759865487275,-4.24083028478005,1149,Nippon India Small Cap Fund - Regular - Growth,Small Cap
118635,-1.255369728475466,-1.6176960494809123,-1.8941503264319874,-2.1491817386482612,1149,Nippon India ETF Nifty 50 BeES,Index/ETF
118636,-0.3804146068944346,-0.49189184204782943,-0.5504107752036487,-0.6518222955091312,1149,Nippon India Gilt Securities Fund - Regular - Growth,Gilt
119092,-1.3749592076363806,-1.7327870956436053,-2.0291700544886213,-2.1422278168679103,1149,Axis Bluechip Fund - Regular - Growth,Large Cap
119093,-1.4225516634796052,-1.7486709749013059,-1.929444539349409,-2.252651293584528,1149,Axis Bluechip Fund - Direct - Growth,Large Cap
119094,-1.8480276243938305,-2.4260059478370564,-2.751375815330561,-3.2008845843672216,1149,Axis Midcap Fund - Regular - Growth,Mid Cap
